,id,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month
0,35797,1.0,1.0,1.0,1.0,7.0,,,,,,
1,44616,,,,1.0,365.0,4.58,4.56,4.7,4.87,4.98,0.4
2,67703,1.0,2.0,2.0,2.0,30.0,4.9,4.82,4.76,4.94,4.98,0.31
3,70644,1.0,1.0,1.0,3.4,180.0,4.91,4.91,4.96,4.96,4.96,0.84
4,131610,1.0,2.0,1.0,1.0,730.0,4.91,4.91,4.96,4.96,4.96,0.84
5,165772,,,,2.0,365.0,4.88,4.92,4.84,4.92,4.75,2.25
6,171109,1.0,1.0,1.0,4.0,90.0,4.83,4.86,4.61,4.98,4.96,0.85
7,180808,1.5,1.0,1.0,3.0,1125.0,4.81,4.89,4.74,4.91,4.91,0.35
8,499553,3.5,,,3.0,30.0,4.92,4.92,4.96,5.0,4.88,0.17
9,501037,1.0,2.0,2.0,5.0,1125.0,4.82,4.89,4.85,4.93,4.97,0.89
10,517503,1.0,1.0,1.0,1.0,1125.0,4.63,4.75,4.6,4.89,4.88,3.43
11,527473,1.0,2.0,3.0,1.0,1125.0,4.9,4.96,4.94,4.93,4.96,2.35
12,544105,1.0,1.0,1.0,2.0,22.0,4.82,4.88,4.66,4.94,4.99,0.74
13,567176,1.0,1.0,1.0,,90.0,4.89,4.82,4.79,4.85,4.73,0.24
14,571166,1.0,1.0,1.0,2.0,365.0,,5.0,5.0,5.0,5.0,0.01
15,583039,2.0,2.0,2.0,2.0,1125.0,4.68,4.71,4.71,4.67,4.87,0.8
16,607833,1.0,1.0,1.0,3.0,365.0,4.83,5.0,4.83,4.83,4.5,0.04
17,187030,1.0,1.0,1.0,4.0,365.0,4.57,4.64,4.64,4.84,4.92,0.65
18,187745,1.0,1.0,1.0,,365.0,4.67,4.58,4.58,4.83,5.0,0.18
19,194937,1.0,1.0,1.0,1.0,1125.0,4.71,4.71,4.81,4.88,4.96,0.48
20,198778,1.0,2.0,2.0,2.0,365.0,4.62,4.76,4.66,4.77,4.87,1.25
21,204887,1.0,1.0,1.0,3.0,1125.0,4.62,4.63,4.31,4.79,4.97,0.2
22,245507,1.0,1.0,2.0,1.0,1125.0,4.85,4.89,4.86,4.95,4.89,2.4
23,246057,1.0,1.0,1.0,1.0,1125.0,4.88,4.84,4.88,4.95,4.9,1.84
24,247543,1.0,1.0,1.0,3.0,30.0,4.9,4.95,4.97,4.96,4.99,0.92
25,256555,,,,2.0,365.0,4.91,4.91,4.89,4.92,4.78,2.03
26,261897,1.0,1.0,1.0,5.0,25.0,4.77,4.87,4.76,4.75,4.94,2.24
27,271048,0.0,0.0,1.0,5.0,365.0,4.92,5.0,5.0,5.0,5.0,0.08
28,276504,0.0,0.0,1.0,,365.0,4.92,5.0,5.0,5.0,5.0,0.08
29,281134,0.0,1.0,1.0,2.0,365.0,4.71,4.71,5.0,5.0,5.0,0.06
30,287940,1.0,1.0,1.0,1.0,1125.0,4.59,4.66,4.65,4.86,4.96,3.13
31,609012,1.0,1.0,1.0,4.0,365.0,4.67,4.82,4.68,4.73,4.59,0.15
32,609594,1.0,3.0,,,365.0,4.71,4.71,,4.86,,0.12
33,613181,1.0,2.0,2.0,3.0,1125.0,4.76,4.79,4.66,4.91,4.74,1.53
34,640803,2.5,2.0,3.0,4.0,21.0,5.0,5.0,4.91,4.95,5.0,0.15
35,642725,2.5,2.0,3.0,2.0,365.0,5.0,5.0,4.91,4.95,5.0,0.15
36,642797,2.5,3.0,3.0,5.0,1125.0,4.9,4.86,4.83,4.98,4.84,0.7
37,654106,1.0,2.0,1.0,5.0,180.0,5.0,5.0,5.0,5.0,5.0,0.01
38,691019,2.0,2.0,3.0,,180.0,4.75,4.78,4.7,4.81,4.92,1.79
39,291804,2.0,2.0,3.0,2.0,14.0,4.75,4.78,4.7,4.81,4.92,1.79
40,298873,2.0,2.0,3.0,3.0,180.0,4.78,4.87,4.88,4.89,4.9,0.77
41,323030,1.0,2.0,2.0,2.0,365.0,4.67,4.76,4.62,4.78,4.86,1.36
42,325812,1.0,2.0,2.0,4.0,10.0,4.78,4.79,4.85,4.86,4.93,0.8
43,326296,1.5,1.0,1.0,3.0,1125.0,4.81,4.82,4.83,4.88,4.77,1.6
44,326475,1.0,2.0,1.0,2.0,1125.0,4.84,4.86,4.81,4.89,4.89,1.36
45,329776,1.0,2.0,1.0,2.7,1125.0,4.82,4.88,4.76,4.94,4.56,0.19
46,331030,1.0,1.0,1.0,2.0,1125.0,4.82,4.88,4.76,4.94,4.56,0.19
47,350079,1.0,1.0,1.0,5.0,180.0,4.82,4.88,4.76,4.94,4.56,0.19
48,696031,1.0,2.0,2.0,,1125.0,4.59,4.51,4.55,4.86,4.74,1.03
49,696037,2.0,3.0,3.0,,365.0,4.57,4.82,4.71,4.92,4.58,0.26
50,704779,1.0,1.0,1.0,2.0,1125.0,4.78,4.76,4.76,4.68,4.92,0.2
51,728372,,,,1.0,90.0,4.79,4.77,4.75,4.9,,1.03
52,737328,,1.0,,2.0,1125.0,4.84,4.88,4.84,5.0,4.84,0.17
53,741557,1.0,1.0,1.0,2.0,730.0,,,,,,0.05
54,760912,1.5,1.0,1.0,1.0,14.0,4.75,4.6,,5.0,4.8,0.03
55,783080,1.5,1.0,1.0,4.0,90.0,5.0,5.0,5.0,5.0,5.0,0.03
56,362583,2.0,2.0,2.0,3.0,1125.0,4.89,4.93,4.91,4.74,4.96,0.32
57,375032,,,,1.0,30.0,4.7,4.58,4.74,4.79,4.98,0.35
58,386265,1.0,1.0,1.0,4.0,1125.0,4.71,4.71,4.9,4.81,4.95,0.16
59,395446,1.0,1.0,1.0,2.0,1125.0,4.79,4.85,4.85,4.76,5.0,0.23
60,409709,1.0,1.0,1.0,3.0,365.0,5.0,5.0,4.5,4.75,5.0,0.03
61,419110,1.5,1.0,2.0,3.0,15.0,4.84,4.96,4.94,4.87,4.96,0.52
62,783480,2.5,2.0,2.0,2.0,365.0,4.94,4.92,4.92,4.89,4.72,0.28
